L,Vgs,Vds,W,id,gm,gds,cgg,vth,vdsat,V_star,gm_id,id_over_w,gm_over_gds,ft,K
2.8e-07,0.3,0.3,1e-05,6.15191e-11,1.65045e-09,3.37413e-11,4.65562e-15,0.73735,0.0466341,0.07454827471295707,26.82825333920685,6.151909999999999e-06,48.914831378755416,56421.545535507335,4.024238000881027
2.8e-07,0.35,0.3,1e-05,1.93334e-10,5.17275e-09,1.05818e-10,4.68934e-15,0.744482,0.0466386,0.07475095452128945,26.755511187892456,1.93334e-05,48.88346028085959,175561.7489622424,4.013326678183868
2.8e-07,0.4,0.3,1e-05,1.05751e-09,2.80604e-08,5.76587e-10,4.85788e-15,0.730999,0.0466542,0.07537383643853972,26.534406294030315,0.000105751,48.66637645316318,919321.0546855461,3.9801609441045476
2.8e-07,0.45,0.3,1e-05,3.08493e-09,8.10258e-08,1.67094e-09,5.06916e-15,0.740284,0.0467006,0.07614685692705286,26.26503680796647,0.00030849299999999996,48.49114869474667,2543943.4912244426,3.93975552119497
2.8e-07,0.5,0.3,1e-05,1.10585e-08,2.84433e-07,5.91619e-09,5.46164e-15,0.741195,0.0468735,0.0777582066778468,25.720757788126782,0.0011058499999999998,48.077056348765,8288521.017214072,3.858113668219017
2.8e-07,0.55,0.3,1e-05,3.76633e-08,9.36788e-07,1.97455e-08,5.99694e-15,0.742772,0.0474418,0.08040944162393199,24.87270101132933,0.0037663299999999996,47.443113620824995,24861752.965540834,3.7309051516993996
2.8e-07,0.6,0.3,1e-05,1.30166e-07,3.08087e-06,6.61258e-08,6.67086e-15,0.741741,0.04932,0.0844995082557849,23.668776792710847,0.0130166,46.59104313293753,73504119.33746588,3.5503165189066266
2.8e-07,0.65,0.3,1e-05,4.14801e-07,9.25108e-06,2.02074e-07,7.3516e-15,0.741356,0.0544109,0.0896762323966499,22.30245346563774,0.0414801,45.780654611676916,200276825.58063158,3.345368019845661
2.8e-07,0.7,0.3,1e-05,1.23729e-06,2.54298e-05,5.68706e-07,7.96044e-15,0.740501,0.0658837,0.09731024231413539,20.552821084790146,0.12372899999999998,44.715195549194135,508423952.92700905,3.082923162718522
2.8e-07,0.75,0.3,1e-05,3.42735e-06,6.12163e-05,1.45208e-06,8.46021e-15,0.737739,0.0871988,0.1119750785330051,17.861117189665485,0.34273499999999996,42.1576634896149,1151611690.8204873,2.6791675784498223
2.8e-07,0.8,0.3,1e-05,7.14851e-06,0.000107915,2.81787e-06,8.78096e-15,0.743008,0.112802,0.13248408469628875,15.096152904591307,0.7148509999999999,38.29665669459556,1955959904.5846791,2.264422935688696
2.8e-07,0.85,0.3,1e-05,1.55175e-05,0.000181606,5.80765e-06,9.09107e-15,0.735246,0.153331,0.17089193088334084,11.703302722732401,1.5517499999999997,31.270135080454228,3179327911.362111,1.75549540840986
2.8e-07,0.9,0.3,1e-05,2.44184e-05,0.000235106,9.33752e-06,9.26625e-15,0.742282,0.186689,0.2077224741180574,9.628231169937425,2.4418399999999996,25.178634155535946,4038125676.575006,1.4442346754906137
2.8e-07,0.95,0.3,1e-05,3.74826e-05,0.000290202,1.63473e-05,9.4459e-15,0.742682,0.226643,0.25832075588727854,7.742312432968897,3.7482599999999997,17.752289368886604,4889643421.500779,1.1613468649453345
2.8e-07,1.0,0.3,1e-05,5.23813e-05,0.000331323,2.95837e-05,9.61761e-15,0.74478,0.265686,0.3161947706618617,6.325215296298489,5.23813,11.199511893373717,5482827148.328539,0.9487822944447731
2.8e-07,1.05,0.3,1e-05,6.91457e-05,0.000357558,5.50353e-05,9.80575e-15,0.746193,0.305188,0.3867663428031256,5.1710807758110775,6.914569999999999,6.496884726711765,5803444218.1426115,0.7756621163716616
2.8e-07,1.1,0.3,1e-05,9.11125e-05,0.000371287,0.000104947,1.00618e-14,0.737035,0.352706,0.4907928368081834,4.075039100013719,9.111249999999998,3.5378524398029483,5872921480.824559,0.6112558650020579
2.8e-07,1.15,0.3,1e-05,0.000107667,0.000370907,0.000151509,1.02696e-14,0.741915,0.388653,0.5805606257094096,3.4449459908792854,10.766699999999998,2.4480855922750466,5748196860.3826475,0.5167418986318928
2.8e-07,1.2,0.3,1e-05,0.000127672,0.000367122,0.000211755,1.05153e-14,0.738244,0.430802,0.6955290067062176,2.875509117112601,12.767199999999999,1.7337111284267197,5556596675.109868,0.4313263675668901
2.8e-07,1.25,0.3,1e-05,0.000143569,0.000360914,0.000262234,1.07051e-14,0.743723,0.465516,0.795585651983575,2.5138713789188474,14.356899999999998,1.3763051320576278,5365783330.475037,0.37708070683782713
2.8e-07,1.3,0.3,1e-05,0.000160864,0.000353903,0.000317828,1.08905e-14,0.745097,0.502985,0.9090852578248844,2.2000136761487963,16.0864,1.1135047887536655,5171976660.855886,0.3300020514223194
2.8e-07,1.35,0.3,1e-05,0.000179599,0.000346333,0.000378424,1.10634e-14,0.742178,0.543239,1.037146330265958,1.9283681980411915,17.9599,0.915198296091157,4982248576.9153595,0.28925522970617873
2.8e-07,1.4,0.3,1e-05,0.000195967,0.000338659,0.000432241,1.11957e-14,0.743984,0.579638,1.1573116320546626,1.728143003668985,19.5967,0.7834957812886792,4814281721.782308,0.2592214505503478
2.8e-07,1.45,0.3,1e-05,0.000211507,0.000330993,0.000483756,1.13047e-14,0.746863,0.614954,1.2780149429142005,1.5649269291323693,21.150699999999997,0.6842147694292164,4659935432.060622,0.23473903936985538
2.8e-07,1.5,0.3,1e-05,0.000228694,0.000323179,0.0005405,1.14055e-14,0.744857,0.653442,1.4152776015768351,1.4131503231392166,22.869399999999995,0.5979259944495837,4509713327.210175,0.21197254847088248
2.8e-07,1.55,0.3,1e-05,0.000245015,0.000315493,0.000594712,1.14875e-14,0.743999,0.690783,1.5532198812651945,1.2876476950390792,24.5015,0.5304971145697414,4371035513.461705,0.19314715425586187
2.8e-07,1.6,0.3,1e-05,0.000261421,0.000307875,0.000649281,1.15578e-14,0.741999,0.7286,1.6982281770198946,1.1776980426209065,26.1421,0.47417836037093336,4239546289.468348,0.17665470639313596
2.8e-07,1.65,0.3,1e-05,0.000277912,0.000300343,0.000704187,1.1618e-14,0.738857,0.766882,1.850630778809561,1.0807125996718385,27.7912,0.4265102877502709,4114397751.166218,0.16210688995077577
2.8e-07,1.7,0.3,1e-05,0.000289524,0.000293515,0.000743981,1.16586e-14,0.746809,0.79741,1.9728054784252933,1.0137846948784903,28.952399999999997,0.39451948369649226,4006858724.1707973,0.15206770423177354
2.8e-07,1.75,0.3,1e-05,0.000304914,0.000286364,0.000795534,1.17023e-14,0.744596,0.834561,2.1295553910407734,0.9391631738785363,30.491399999999995,0.3599645018314742,3894640038.587929,0.14087447608178041
2.8e-07,1.8,0.3,1e-05,0.000322255,0.000279092,0.000853194,1.17434e-14,0.736623,0.875218,2.309310191621401,0.8660594870521791,32.2255,0.32711434913982046,3782454091.4388723,0.12990892305782686
2.8e-07,0.3,0.5,1e-05,7.21637e-11,1.93562e-09,3.61005e-11,4.66036e-15,0.732969,0.0466332,0.07456391233816555,26.82262688858803,7.21637e-06,53.61753992326976,66102.93860292649,6.705656722147007
2.8e-07,0.35,0.5,1e-05,2.59466e-10,6.93637e-09,1.29514e-10,4.70718e-15,0.735147,0.0466377,0.07481319479785536,26.733252140935612,2.5946599999999997e-05,53.55691276618743,234526.3135495838,6.683313035233903
2.8e-07,0.4,0.5,1e-05,9.66197e-10,2.56603e-08,4.80257e-10,4.8403e-15,0.73581,0.0466526,0.07530675791007899,26.558041476013692,9.661969999999999e-05,53.4303508329915,843741.8313370994,6.639510369003423
2.8e-07,0.45,0.5,1e-05,3.66904e-09,9.62078e-08,1.80895e-09,5.10272e-15,0.735291,0.0467088,0.07627323356318302,26.221518435340034,0.000366904,53.18433345310815,3000742.1402695915,6.5553796088350085
2.8e-07,0.5,0.5,1e-05,1.24638e-08,3.20012e-07,6.06102e-09,5.4901e-15,0.738147,0.0468922,0.07789582890641601,25.67531571430864,0.00124638,52.798373871064605,9276969.75441679,6.41882892857716
2.8e-07,0.55,0.5,1e-05,3.9588e-08,9.84123e-07,1.88375e-08,5.99821e-15,0.742368,0.0474497,0.08045335796440078,24.859123976962717,0.003958799999999999,52.24276045122761,26112463.561700128,6.214780994240679
2.8e-07,0.6,0.5,1e-05,1.30723e-07,3.09706e-06,6.0104e-08,6.64346e-15,0.743183,0.0492346,0.08441747980342647,23.691775739540862,0.013072299999999999,51.52835085851192,74195134.47092108,5.9229439348852155
2.8e-07,0.65,0.5,1e-05,4.69785e-07,1.0411e-05,2.04606e-07,7.38704e-15,0.737554,0.0550068,0.09024781481125732,22.16120140064072,0.04697849999999999,50.883160806623465,224306638.72535175,5.54030035016018
2.8e-07,0.7,0.5,1e-05,1.32082e-06,2.70236e-05,5.36964e-07,7.95329e-15,0.739123,0.0663112,0.09775307508992141,20.459714419830103,0.132082,50.3266513211314,540774889.4027683,5.114928604957526
2.8e-07,0.75,0.5,1e-05,3.56062e-06,6.34826e-05,1.30367e-06,8.42682e-15,0.737558,0.0872893,0.11217624987004313,17.829085945706087,0.356062,48.69529865686869,1198977738.972181,4.457271486426522
2.8e-07,0.8,0.5,1e-05,7.98318e-06,0.000118076,2.59294e-06,8.7583e-15,0.738076,0.115976,0.13522104407330873,14.790597230677498,0.798318,45.537497975271314,2145665147.4051623,3.6976493076693746
2.8e-07,0.85,0.5,1e-05,1.44511e-05,0.000176257,4.23153e-06,8.97292e-15,0.743801,0.146962,0.16397760088961005,12.196787787780861,1.44511,41.65325544188509,3126314823.3293285,3.0491969469452154
2.8e-07,0.9,0.5,1e-05,2.76736e-05,0.000258102,7.26281e-06,9.17026e-15,0.733485,0.193669,0.21443925269854552,9.326650670675301,2.7673599999999996,35.537484802714104,4479503211.676046,2.3316626676688252
2.8e-07,0.95,0.5,1e-05,4.27828e-05,0.000321684,1.0597e-05,9.28631e-15,0.731583,0.235619,0.2659927133460166,7.519002963807885,4.27828,30.356138529772576,5513233858.612652,1.8797507409519714
2.8e-07,1.0,0.5,1e-05,5.7794e-05,0.000368326,1.39968e-05,9.36114e-15,0.737722,0.271394,0.31381982265710273,6.37308371111188,5.7794,26.315014860539552,6262154349.712261,1.5932709277779697
2.8e-07,1.05,0.5,1e-05,7.5514e-05,0.000411651,1.83472e-05,9.42581e-15,0.742008,0.308546,0.36688359799927606,5.4513202849802695,7.551399999999999,22.436720589517748,6950733303.421331,1.3628300712450672
2.8e-07,1.1,0.5,1e-05,9.93658e-05,0.000458138,2.5202e-05,9.49384e-15,0.737624,0.352251,0.4337810877945073,4.610620555563384,9.93658,18.178636616141578,7680235533.591755,1.152655138890846
2.8e-07,1.15,0.5,1e-05,0.000124961,0.000496534,3.46691e-05,9.55789e-15,0.734397,0.394504,0.5033331050844454,3.9735117356615257,12.4961,14.322090853238183,8268126177.76425,0.9933779339153815
2.8e-07,1.2,0.5,1e-05,0.00015,0.000524245,4.75808e-05,9.62024e-15,0.735296,0.433069,0.5722515236196816,3.494966666666667,14.999999999999998,11.017994653305536,8672983536.919107,0.8737416666666667
2.8e-07,1.25,0.5,1e-05,0.000172077,0.000540252,6.38041e-05,9.6802e-15,0.742902,0.46615,0.6370249439150619,3.1395944838647813,17.2077,8.467355546116943,8882437998.727571,0.7848986209661953
2.8e-07,1.3,0.5,1e-05,0.000208657,0.000556648,0.000102112,9.79024e-15,0.72842,0.515391,0.7496910076026502,2.6677657591166364,20.8657,5.451347539956126,9049142897.642689,0.6669414397791591
2.8e-07,1.35,0.5,1e-05,0.000227472,0.000554997,0.000129381,9.86325e-15,0.742376,0.54311,0.8197233498559452,2.439847541675459,22.747199999999996,4.289632944559093,8955518307.978876,0.6099618854188648
2.8e-07,1.4,0.5,1e-05,0.000258614,0.000551683,0.000179148,9.99516e-15,0.737075,0.584655,0.9375456557479568,2.1332294462016748,25.8614,3.079481769263402,8784559373.713488,0.5333073615504187
2.8e-07,1.45,0.5,1e-05,0.000282871,0.000543792,0.00022285,1.0119e-14,0.741868,0.618544,1.0403646982669845,1.9224027913784019,28.2871,2.4401705182858424,8552938513.077175,0.4806006978446005
2.8e-07,1.5,0.5,1e-05,0.000311949,0.000534212,0.000276774,1.02789e-14,0.738632,0.657851,1.167884660022613,1.7124978762554133,31.194899999999997,1.9301379464834125,8271554393.856112,0.4281244690638533
2.8e-07,1.55,0.5,1e-05,0.000342036,0.000523442,0.000334002,1.04531e-14,0.733076,0.698398,1.3068725856923975,1.5303710720508954,34.203599999999994,1.567182232441722,7969729718.639245,0.38259276801272385
2.8e-07,1.6,0.5,1e-05,0.000365858,0.000512575,0.000381196,1.05979e-14,0.736256,0.732567,1.4275296298102715,1.4010217078757332,36.5858,1.3446494716628716,7697642453.252839,0.35025542696893336
2.8e-07,1.65,0.5,1e-05,0.000394125,0.000501198,0.000436605,1.07575e-14,0.731771,0.771707,1.5727317347635066,1.2716726926736441,39.412499999999994,1.147943793589171,7415118676.994818,0.31791817316841103
2.8e-07,1.7,0.5,1e-05,0.000413103,0.000490653,0.00047589,1.08682e-14,0.740745,0.801507,1.6838906518456018,1.1877255793349357,41.3103,1.0310218748030007,7185168684.130558,0.29693139483373393
2.8e-07,1.75,0.5,1e-05,0.000439336,0.000479493,0.000528162,1.09982e-14,0.737674,0.839178,1.832502247165235,1.0914038458036672,43.9336,0.9078521362763697,6938742805.910256,0.2728509614509168
2.8e-07,1.8,0.5,1e-05,0.000465086,0.00046847,0.000579712,1.1113e-14,0.734478,0.87665,1.9855529703075971,1.007276073672396,46.5086,0.808108164053875,6709197893.481527,0.251819018418099
2.8e-07,0.3,0.8,1e-05,7.54379e-11,2.02345e-09,3.51887e-11,4.6655e-15,0.733098,0.0466333,0.07456364130569078,26.822724386548405,7.54379e-06,57.502834716826705,69026.2714820053,10.729089754619363
2.8e-07,0.35,0.8,1e-05,2.66139e-10,7.11531e-09,1.2386e-10,4.71039e-15,0.735973,0.0466377,0.07480742230486093,26.735315004565283,2.66139e-05,57.446391086710804,240412.52595457996,10.694126001826113
2.8e-07,0.4,0.8,1e-05,9.4159e-10,2.50186e-08,4.36342e-10,4.83401e-15,0.738531,0.0466518,0.075271198228518,26.570588047876463,9.4159e-05,57.33713463292555,823712.3752824039,10.628235219150584
2.8e-07,0.45,0.8,1e-05,3.61718e-09,9.49188e-08,1.66197e-09,5.0904e-15,0.737612,0.0467048,0.07621630277668913,26.241104949159286,0.00036171799999999997,57.11222224227874,2967703.169171577,10.496441979663716
2.8e-07,0.5,0.8,1e-05,1.3793e-08,3.53684e-07,6.23659e-09,5.51237e-15,0.736101,0.0469056,0.07799617737867702,25.642282317117377,0.0013793,56.71111937773687,10211679.711723616,10.256912926846951
2.8e-07,0.55,0.8,1e-05,5.07696e-08,1.2529e-06,2.2331e-08,6.09866e-15,0.734407,0.0476221,0.08104333945247028,24.67815385585074,0.00507696,56.10586180645738,32696564.19604235,9.871261542340298
2.8e-07,0.6,0.8,1e-05,1.75475e-07,4.10543e-06,7.40256e-08,6.78322e-15,0.732887,0.0499027,0.08548434634130894,23.396096310015672,0.017547499999999997,55.459597760774656,96325856.74911915,9.35843852400627
2.8e-07,0.65,0.8,1e-05,4.67558e-07,1.03701e-05,1.88032e-07,7.35615e-15,0.739746,0.0546588,0.09017425097154319,22.179280431518656,0.04675579999999999,55.15071902654867,224363651.551051,8.871712172607463
2.8e-07,0.7,0.8,1e-05,1.42012e-06,2.88786e-05,5.26022e-07,7.96357e-15,0.737669,0.0667692,0.0983510280969299,20.335323775455596,0.142012,54.89998517172286,577149687.8376921,8.13412951018224
2.8e-07,0.75,0.8,1e-05,3.7093e-06,6.59171e-05,1.22317e-06,8.42003e-15,0.737458,0.0873391,0.11254439288136157,17.770765373520614,0.3709299999999999,53.89038318467589,1245961391.9763677,7.108306149408246
2.8e-07,0.8,0.8,1e-05,9.44215e-06,0.000134343,2.63751e-06,8.79533e-15,0.729349,0.12174,0.14056780033198604,14.228009510545798,0.944215,50.935541476619996,2430989231.7621393,5.691203804218319
2.8e-07,0.85,0.8,1e-05,1.80791e-05,0.000205722,4.36967e-06,9.01814e-15,0.728483,0.158435,0.17576243668640204,11.378995635844705,1.80791,47.07952774465806,3630645920.638945,4.551598254337882
2.8e-07,0.9,0.8,1e-05,2.91927e-05,0.000270423,6.28606e-06,9.15559e-15,0.73171,0.195084,0.215903972665047,9.263377488207668,2.9192699999999996,43.019474837974826,4700861132.460018,3.705350995283067
2.8e-07,0.95,0.8,1e-05,4.35115e-05,0.000331246,8.52564e-06,9.25566e-15,0.73406,0.233621,0.2627141157930964,7.612837985360192,4.35115,38.85291895974965,5695913449.65329,3.045135194144077
2.8e-07,1.0,0.8,1e-05,6.03583e-05,0.000385261,1.10195e-05,9.32818e-15,0.736908,0.272058,0.3133371921891912,6.382900114814367,6.03583,34.9617496256636,6573221414.0943575,2.553160045925747
2.8e-07,1.05,0.8,1e-05,8.49798e-05,0.000446866,1.46157e-05,9.39494e-15,0.728485,0.319357,0.38033683475583285,5.2584967251040835,8.49798,30.574382342275772,7570131666.588918,2.1033986900416335
2.8e-07,1.1,0.8,1e-05,0.000100522,0.00047661,1.68572e-05,9.42576e-15,0.74349,0.347634,0.42182077589643524,4.741350152205487,10.0522,28.273378734309375,8047609681.026063,1.896540060882195
2.8e-07,1.15,0.8,1e-05,0.000130475,0.00052825,2.13767e-05,9.4694e-15,0.734803,0.394204,0.493989588263133,4.0486683272657595,13.047499999999998,24.71148493453152,8878450449.689919,1.619467330906304
2.8e-07,1.2,0.8,1e-05,0.000154192,0.000561057,2.50859e-05,9.4964e-15,0.740621,0.42901,0.5496482532077845,3.638690723254125,15.419199999999998,22.365432374361692,9403036403.93302,1.4554762893016502
2.8e-07,1.25,0.8,1e-05,0.000186705,0.000600947,3.0514e-05,9.52624e-15,0.735349,0.471869,0.6213692721654323,3.2186979459575262,18.6705,19.694140394572983,10040024772.233875,1.2874791783830106
2.8e-07,1.3,0.8,1e-05,0.000220495,0.000635856,3.66314e-05,9.55222e-15,0.731293,0.513284,0.6935375305100526,2.883766071793011,22.0495,17.3582227269501,10594356651.609804,1.1535064287172045
2.8e-07,1.35,0.8,1e-05,0.000250662,0.000661615,4.26086e-05,9.57303e-15,0.734352,0.549016,0.7577276815066165,2.63947068163503,25.0662,15.527733837769839,10999578782.657562,1.055788272654012
2.8e-07,1.4,0.8,1e-05,0.000288008,0.000689903,5.09151e-05,9.5966e-15,0.729839,0.589905,0.8349231703587318,2.395429988055887,28.8008,13.55006667962942,11441705677.419907,0.9581719952223547
2.8e-07,1.45,0.8,1e-05,0.000316888,0.000706727,5.82614e-05,9.61472e-15,0.737225,0.621886,0.8967762657999482,2.230210673802732,31.688799999999997,12.130278366122338,11698634538.135891,0.8920842695210927
2.8e-07,1.5,0.8,1e-05,0.00036242,0.000731627,7.19637e-05,9.64249e-15,0.726017,0.666745,0.990723415073528,2.0187268914519065,36.242,10.16661177788246,12075931999.877014,0.8074907565807626
2.8e-07,1.55,0.8,1e-05,0.000396757,0.000744034,8.49461e-05,9.66546e-15,0.728925,0.701309,1.0665023372587812,1.8752889047956305,39.6757,8.758895346578594,12251531632.062546,0.7501155619182522
2.8e-07,1.6,0.8,1e-05,0.000425877,0.00075001,9.86573e-05,9.68742e-15,0.738056,0.731367,1.1356568579085613,1.7610953397342424,42.5877,7.602174395609853,12321939057.907309,0.704438135893697
2.8e-07,1.65,0.8,1e-05,0.000463054,0.000755257,0.000120035,9.71806e-15,0.738574,0.767136,1.2262157120026693,1.6310343933968823,46.3054,6.291973174490773,12369020653.788471,0.652413757358753
2.8e-07,1.7,0.8,1e-05,0.000504838,0.000756244,0.000150032,9.75824e-15,0.734325,0.805847,1.3351193530130485,1.497993415709594,50.483799999999995,5.040551349045537,12334188417.541204,0.5991973662838377
2.8e-07,1.75,0.8,1e-05,0.000544476,0.000751421,0.000184785,9.80505e-15,0.732285,0.842783,1.4491902675064978,1.380081032038143,54.447599999999994,4.066461022269123,12197017505.576729,0.5520324128152572
2.8e-07,1.8,0.8,1e-05,0.000577552,0.000742461,0.00021869,9.85408e-15,0.736796,0.875176,1.555777340493305,1.2855309998060782,57.75519999999999,3.395038639169601,11991615473.281292,0.5142123999224314
2.8e-07,0.3,1.2,1e-05,7.42738e-11,1.99247e-09,3.29097e-11,4.6717e-15,0.735595,0.0466338,0.07455449768377943,26.82601401840218,7.42738e-06,60.543547950908085,67879.24084643893,16.095608411041308
2.8e-07,0.35,1.2,1e-05,2.82331e-10,7.54802e-09,1.24792e-10,4.71731e-15,0.73574,0.0466377,0.0748092877337368,26.73464833829796,2.82331e-05,60.48480671837938,254658.84021963534,16.040789002978773
2.8e-07,0.4,1.2,1e-05,1.38663e-09,3.6757e-08,6.09239e-10,4.88949e-15,0.726173,0.0466562,0.07544848600266615,26.508152859811197,0.000138663,60.33264449583825,1196455.7128102926,15.904891715886718
2.8e-07,0.45,1.2,1e-05,4.86773e-09,1.27322e-07,2.11807e-09,5.15813e-15,0.728469,0.0467221,0.07646329778043072,26.156339813424328,0.00048677299999999997,60.11227202122688,3928541.092284665,15.693803888054596
2.8e-07,0.5,1.2,1e-05,1.93577e-08,4.92934e-07,8.25878e-09,5.62879e-15,0.725117,0.0469908,0.07854073770525061,25.464492165908137,0.0019357699999999999,59.686055325362815,13937788.17793173,15.278695299544882
2.8e-07,0.55,1.2,1e-05,4.76427e-08,1.17999e-06,1.98987e-08,6.04382e-15,0.738995,0.0475189,0.0807510233137569,24.767487988716006,0.00476427,59.29985375929081,31073268.445950676,14.860492793229602
2.8e-07,0.6,1.2,1e-05,1.46877e-07,3.4693e-06,5.90348e-08,6.65479e-15,0.742424,0.0492793,0.08467241230219352,23.620444317353975,0.014687699999999998,58.767032326695436,82971249.89198945,14.172266590412386
2.8e-07,0.65,1.2,1e-05,7.41736e-07,1.59645e-05,2.73175e-07,7.58651e-15,0.721279,0.0579936,0.09292317329073882,21.523156486944142,0.07417359999999999,58.44056008053446,334914089.4812718,12.913893892166486
2.8e-07,0.7,1.2,1e-05,1.51961e-06,3.06985e-05,5.2515e-07,7.97441e-15,0.736571,0.0671204,0.09900223137938337,20.20156487519824,0.15196099999999998,58.45663143863658,612687085.3776704,12.120938925118944
2.8e-07,0.75,1.2,1e-05,4.49345e-06,7.72804e-05,1.33976e-06,8.4826e-15,0.729043,0.0916658,0.11628951195904783,17.198455529715474,0.449345,57.68227145160328,1449974968.0662663,10.319073317829284
2.8e-07,0.8,1.2,1e-05,9.96969e-06,0.000140651,2.52801e-06,8.79906e-15,0.728163,0.122537,0.14176493590518377,14.107860926468124,0.9969689999999999,55.63704257498981,2544056058.3537526,8.464716555880873
2.8e-07,0.85,1.2,1e-05,1.93172e-05,0.000216735,4.1374e-06,9.02479e-15,0.725839,0.160445,0.17825639605970425,11.219793758929866,1.9317199999999997,52.38434765794943,3822188282.6106687,6.731876255357919
2.8e-07,0.9,1.2,1e-05,3.17081e-05,0.000287103,5.89183e-06,9.16462e-15,0.726682,0.199097,0.22088309770361164,9.054563345012788,3.17081,48.729002703743994,4985898119.781554,5.432738007007671
2.8e-07,0.95,1.2,1e-05,4.59422e-05,0.000346144,7.6459e-06,9.25604e-15,0.731513,0.235688,0.2654513728390497,7.5343366229740845,4.59422,45.271845041133155,5951846429.0993805,4.5206019737844505
2.8e-07,1.0,1.2,1e-05,6.79461e-05,0.000415244,1.01183e-05,9.33936e-15,0.724315,0.282223,0.32725867200970993,6.111373574053552,6.794609999999999,41.03890969826948,7076302357.897221,3.666824144432131
2.8e-07,1.05,1.2,1e-05,8.82948e-05,0.000464159,1.22536e-05,9.38889e-15,0.727794,0.319921,0.3804506645352131,5.256923397527375,8.829479999999998,37.879398707318664,7868150466.198993,3.154154038516425
